topic,news_sentiment,news_volume,eksi_sentiment,eksi_volume,avg_favorites,google_trends,date
national,0.01257368421052631,19.0,-0.17654999999999998,4.0,0.0,3.857142857142857,2025-12-29
national,0.18898235294117646,17.0,-0.18032857142857145,7.0,0.0,3.0,2026-01-05
national,0.33160588235294114,17.0,0.9997,1.0,0.0,8.142857142857142,2026-01-12
national,0.25516249999999996,8.0,-0.5901166666666667,6.0,0.0,8.571428571428571,2026-01-19
national,0.6159399999999999,10.0,-0.5888625,8.0,0.0,5.428571428571429,2026-01-26
national,0.21383000000000002,10.0,0.25561666666666666,6.0,0.0,3.857142857142857,2026-02-02
national,0.15080000000000002,11.0,-0.9908,1.0,0.0,3.5714285714285716,2026-02-09
national,0.2461818181818182,11.0,0.0010499999999999954,2.0,0.0,4.0,2026-02-16
national,-0.06910000000000001,9.0,0.3134333333333333,3.0,0.0,3.4285714285714284,2026-02-23
national,0.20095999999999997,15.0,0.327625,4.0,0.0,7.571428571428571,2026-03-02
national,0.34791,10.0,0.20265,2.0,0.0,6.428571428571429,2026-03-09
national,0.05689999999999998,9.0,0.21220000000000003,4.0,0.0,3.0,2026-03-16
national,-0.01831363636363637,22.0,0.3518,4.0,0.0,4.714285714285714,2026-03-23
national,0.24031875,16.0,0.41253333333333336,6.0,0.0,,2026-03-30
national,0.09527200000000001,25.0,,,,,2026-04-06
national,-0.15470714285714285,14.0,-0.9801,2.0,0.0,,2026-04-13
national,0.3579047619047619,21.0,0.71295,2.0,0.0,,2026-04-20
national,0.078376,25.0,-0.9318500000000001,2.0,0.0,,2026-04-27
national,-0.119868,25.0,,,,,2026-05-04
national,-0.2473257142857143,35.0,0.945,3.0,0.0,,2026-05-11
national,0.23734210526315788,57.0,-0.28192000000000006,5.0,0.0,,2026-05-18
national,0.44275106382978724,47.0,-0.012950000000000017,2.0,0.0,,2026-05-25
national,0.46199153846153845,130.0,,,,,2026-06-01
national,0.22443519553072627,179.0,0.09234999999999999,2.0,0.0,,2026-06-08
national,0.21950371900826446,726.0,0.5324,1.0,0.0,,2026-06-15
politics,0.9517,1.0,,,,1.0,2024-01-01
politics,0.9555,1.0,-0.347775,4.0,0.0,2.0,2024-01-29
politics,0.4489,1.0,0.0,2.0,0.0,2.0,2024-02-05
politics,,,-0.9878333333333332,3.0,0.0,2.0,2024-02-12
politics,0.52406,5.0,0.342,1.0,0.0,2.0,2024-02-19
politics,0.6824666666666667,6.0,-0.05620000000000003,2.0,0.0,2.5714285714285716,2024-02-26
politics,0.8426750000000001,4.0,0.9379,1.0,0.0,3.0,2024-03-04
politics,0.789275,4.0,-0.9865,1.0,0.0,3.0,2024-03-11
politics,,,-0.6342166666666667,6.0,0.0,5.285714285714286,2024-03-18
politics,,,-0.5191800000000001,5.0,0.0,60.142857142857146,2024-03-25
politics,,,-0.040049999999999975,4.0,0.0,46.285714285714285,2024-04-01
politics,0.9786,1.0,,,,3.7142857142857144,2024-04-08
politics,-0.9678,1.0,-0.6683,1.0,0.0,2.0,2024-04-15
politics,-0.0493,1.0,,,,1.4285714285714286,2024-04-22
politics,-0.38395,2.0,0.9741,2.0,0.0,1.0,2024-04-29
politics,,,-0.49733333333333335,3.0,0.0,1.0,2024-05-06
politics,0.9893,1.0,-0.9844,1.0,0.0,1.0,2024-05-13
politics,0.8677999999999999,2.0,0.9091,1.0,0.0,1.0,2024-05-20
politics,0.30813333333333337,3.0,0.332,3.0,0.0,1.0,2024-05-27
politics,0.08613333333333334,3.0,0.9731,1.0,0.0,1.0,2024-06-03
politics,,,-0.3359666666666666,3.0,0.0,0.0,2024-06-17
politics,,,-0.2905666666666667,3.0,0.0,0.5714285714285714,2024-06-24
politics,-0.07,1.0,-0.9654,1.0,0.0,1.0,2024-07-01
politics,,,0.9806,1.0,0.0,1.0,2024-07-08
politics,,,0.091675,4.0,0.0,0.42857142857142855,2024-07-15
politics,,,-0.0514,4.0,0.0,0.0,2024-07-22
politics,,,-0.9985,1.0,0.0,0.0,2024-07-29
politics,0.9936,1.0,-0.4589,1.0,0.0,0.0,2024-08-05
politics,0.75305,2.0,,,,0.0,2024-08-12
politics,,,-0.6583333333333333,3.0,0.0,0.0,2024-08-19
politics,-0.7222333333333334,3.0,-0.9936,1.0,0.0,0.0,2024-08-26
politics,,,-0.9023,3.0,0.0,0.0,2024-09-02
politics,-0.9887,1.0,-0.9783,1.0,0.0,0.0,2024-09-09
politics,-0.48856,5.0,-0.3147,2.0,0.0,0.0,2024-09-16
politics,-0.7792,2.0,-0.24584999999999999,2.0,0.0,6.285714285714286,2024-09-23
politics,-0.18768,5.0,-0.88,1.0,0.0,12.142857142857142,2024-09-30
politics,-0.01794,5.0,0.9852000000000001,2.0,0.0,15.285714285714286,2024-10-07
politics,0.8890333333333333,3.0,-0.4844,4.0,0.0,18.142857142857142,2024-10-14
politics,0.69255,2.0,0.41034,5.0,0.0,18.428571428571427,2024-10-21
politics,,,-0.1465,4.0,0.0,45.714285714285715,2024-11-04
politics,,,0.9904,1.0,0.0,12.857142857142858,2024-11-11
politics,-0.33499999999999996,3.0,-0.6325,1.0,0.0,11.428571428571429,2024-11-18
politics,0.01816000000000002,5.0,-0.6451,1.0,0.0,11.0,2024-11-25
politics,-0.7776,1.0,0.5789500000000001,2.0,0.0,10.428571428571429,2024-12-02
politics,-0.28715,2.0,0.10210000000000002,2.0,0.0,10.571428571428571,2024-12-09
politics,0.8533,2.0,-0.928,1.0,0.0,11.571428571428571,2024-12-16
politics,0.2819333333333333,3.0,0.35875,4.0,0.0,13.714285714285714,2024-12-23
politics,0.20629999999999996,3.0,-0.9782500000000001,2.0,0.0,13.285714285714286,2024-12-30
politics,0.39725714285714286,7.0,0.7893,2.0,0.0,12.571428571428571,2025-01-06
politics,0.2865333333333333,3.0,-0.6182,1.0,0.0,13.0,2025-01-13
politics,0.0016999999999999793,2.0,-0.857375,4.0,0.0,13.571428571428571,2025-01-20
politics,0.9947,1.0,0.7966,2.0,0.0,13.428571428571429,2025-01-27
politics,-0.12660000000000002,2.0,,,,13.0,2025-02-03
politics,0.29707500000000003,8.0,,,,13.571428571428571,2025-02-10
